begin_time,begin_fs,end_fs,pw,DOA
35.54,100.0,100.0,4.0,30.0,1
239.54,100.0,100.0,4.0,30.0,1
443.53999999999996,100.0,100.0,4.0,30.0,1
647.54,100.0,100.0,4.0,30.0,1
851.54,100.0,100.0,4.0,30.0,1
1055.54,100.0,100.0,4.0,30.0,1
1259.54,100.0,100.0,4.0,30.0,1
1463.54,100.0,100.0,4.0,30.0,1
1667.54,100.0,100.0,4.0,30.0,1
1871.54,100.0,100.0,4.0,30.0,1
2075.54,100.0,100.0,4.0,30.0,1
2279.54,100.0,100.0,4.0,30.0,1
2483.54,100.0,100.0,4.0,30.0,1
2687.54,100.0,100.0,4.0,30.0,1
2891.54,100.0,100.0,4.0,30.0,1
3095.54,100.0,100.0,4.0,30.0,1
3299.54,100.0,100.0,4.0,30.0,1
3503.54,100.0,100.0,4.0,30.0,1
3707.54,100.0,100.0,4.0,30.0,1
3911.54,100.0,100.0,4.0,30.0,1
4115.54,100.0,100.0,4.0,30.0,1
4319.54,100.0,100.0,4.0,30.0,1
4523.54,100.0,100.0,4.0,30.0,1
4727.54,100.0,100.0,4.0,30.0,1
4931.54,100.0,100.0,4.0,30.0,1
